,PREV_EDGE,ID,FNODE,TNODE,LENG,EDGE_INDEX,FNODE_NEW,TNODE_NEW,SPEED,TIME,TAZ,TYPE
0,16,3120001344,31021354,31021351,823.4,0,111,108,50,59.2848,2930.0,urban
1,17,3120001345,31021354,31021355,471.6,1,111,112,50,33.9552,2930.0,urban
2,18,3120001346,31021353,31021357,475.2,2,110,114,50,34.2144,1704.0,urban
3,19,3120001347,31021356,31021357,706.7,3,113,114,50,50.8824,1704.0,urban
4,20,3120001348,31021358,31021352,160.2,4,115,109,50,11.5344,2930.0,urban
5,21,3120001349,31021357,31021358,126.2,5,114,115,50,9.0864,2930.0,urban
6,22,3120001350,31021359,31021354,150.6,6,116,111,50,10.8432,2930.0,urban
7,23,3120001351,31021352,31021359,172.6,7,109,116,50,12.4272,2930.0,urban
8,24,3120001352,31021362,31021364,697.5,8,119,121,50,50.22,2926.0,urban
9,25,3120001353,31021363,31021364,392.1,9,120,121,50,28.2312,2926.0,urban
10,26,3120001354,31021365,31021361,660.6,10,122,118,50,47.5632,2926.0,urban
11,27,3120001355,31021365,31021366,295.1,11,122,123,50,21.2472,2926.0,urban
12,28,3120001356,31021367,31021360,187.5,12,124,117,50,13.5,2926.0,urban
13,29,3120001357,31021364,31021367,138.2,13,121,124,50,9.9504,2926.0,urban
14,30,3120001358,31021360,31021368,185.9,14,117,125,50,13.3848,2926.0,urban
15,31,3120001359,31021368,31021365,189.4,15,125,122,50,13.6368,2926.0,urban
16,36,3120001364,31021320,31021372,450.4,16,5,128,50,32.4288,3232.0,urban
17,42,3120001376,31021453,31021348,551.9,17,186,107,50,39.7368,2854.0,urban
18,43,3120001377,31021348,31021454,559.0,18,107,187,50,40.248,2854.0,urban
19,44,3120001378,31021385,31021387,411.3,19,7,131,50,29.6136,1679.0,urban
20,45,3120001379,31021392,31021384,637.5,20,136,50,50,45.9,786.0,urban
21,46,3120001380,31021389,31021390,320.6,21,133,134,50,23.0832,786.0,urban
22,47,3120001381,31021394,31021393,426.3,22,138,137,50,30.6936,895.0,urban
23,48,3120001382,31021388,31021396,454.6,23,132,139,50,32.7312,1679.0,urban
24,49,3120001383,31021401,31021411,333.4,24,144,152,50,24.0048,1692.0,urban
25,50,3120001384,31021391,31021396,699.4,25,135,139,50,50.3568,786.0,urban
